white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,result,w_king_w_rook_diff,white_king_defending,b_king_w_rook_diff,black_king_attacking,b_king_corner_diff,combined
2,1,8,6,6,5,15,7.810249675906654,0,2.23606797749979,0,3.605551275463989,00
4,1,5,5,8,4,13,4.123105625617661,0,3.1622776601683795,0,3.0,00
4,4,8,1,8,6,10,5.0,0,5.0,0,2.0,00
4,4,6,3,5,2,100,2.23606797749979,0,1.4142135623730951,1,3.1622776601683795,10
1,1,6,5,8,3,14,6.4031242374328485,0,2.8284271247461903,0,2.0,00
4,1,2,5,2,3,14,4.47213595499958,0,2.0,0,2.23606797749979,00
3,3,5,6,5,2,11,3.605551275463989,0,4.0,0,3.1622776601683795,00
3,1,1,8,6,6,14,7.280109889280518,0,5.385164807134504,0,2.8284271247461903,00
4,3,6,6,8,6,11,3.605551275463989,0,2.0,0,2.0,00
2,1,8,5,4,6,13,7.211102550927978,0,4.123105625617661,0,3.605551275463989,00
4,4,7,3,8,3,100,3.1622776601683795,0,1.0,1,2.0,10
4,3,2,6,4,6,12,3.605551275463989,0,2.0,0,3.605551275463989,00
4,3,6,8,5,7,100,5.385164807134504,0,1.4142135623730951,1,3.1622776601683795,10
2,2,4,6,8,7,11,4.47213595499958,0,4.123105625617661,0,1.0,00
2,1,5,8,1,7,13,7.615773105863909,0,4.123105625617661,0,1.0,00
4,1,4,2,8,2,8,1.0,1,4.0,0,1.0,01
4,3,3,5,6,7,11,2.23606797749979,0,3.605551275463989,0,2.23606797749979,00
4,2,6,5,6,2,8,3.605551275463989,0,3.0,0,2.23606797749979,00
2,1,4,2,3,4,12,2.23606797749979,0,2.23606797749979,0,3.605551275463989,00
4,4,3,4,8,7,9,1.0,1,5.830951894845301,0,1.0,01
4,3,6,8,8,5,10,5.385164807134504,0,3.605551275463989,0,3.0,00
4,1,6,2,1,7,12,2.23606797749979,0,7.0710678118654755,0,1.0,00
2,1,1,6,8,7,12,5.0990195135927845,0,7.0710678118654755,0,1.0,00
4,1,3,8,4,8,100,7.0710678118654755,0,1.0,1,3.0,10
2,1,4,8,6,4,15,7.280109889280518,0,4.47213595499958,0,3.605551275463989,00
4,1,5,1,7,1,11,1.0,1,2.0,0,1.0,01
3,2,2,4,2,7,11,2.23606797749979,0,3.0,0,1.4142135623730951,00
1,1,1,6,8,3,14,5.0,0,7.615773105863909,0,2.0,00
3,2,4,4,1,6,10,2.23606797749979,0,3.605551275463989,0,2.0,00
4,2,1,4,7,4,13,3.605551275463989,0,6.0,0,3.1622776601683795,00
4,3,2,5,3,5,100,2.8284271247461903,0,1.0,1,3.605551275463989,10
3,2,2,7,6,5,14,5.0990195135927845,0,4.47213595499958,0,3.605551275463989,00
4,4,7,2,4,1,6,3.605551275463989,0,3.1622776601683795,0,3.0,00
1,1,3,3,5,2,10,2.8284271247461903,0,2.23606797749979,0,3.1622776601683795,00
3,1,1,2,8,6,12,2.23606797749979,0,8.06225774829855,0,2.0,00
4,3,7,7,1,8,7,5.0,0,6.082762530298219,0,0.0,00
3,1,1,4,4,3,12,3.605551275463989,0,3.1622776601683795,0,3.605551275463989,00
3,1,8,4,5,3,11,5.830951894845301,0,3.1622776601683795,0,3.605551275463989,00
4,2,7,3,3,5,13,3.1622776601683795,0,4.47213595499958,0,3.605551275463989,00
2,1,7,6,4,5,15,7.0710678118654755,0,3.1622776601683795,0,4.242640687119285,00
3,1,5,8,1,4,12,7.280109889280518,0,5.656854249492381,0,3.0,00
3,1,6,2,5,4,15,3.1622776601683795,0,2.23606797749979,0,4.242640687119285,00
3,1,8,7,7,4,14,7.810249675906654,0,3.1622776601683795,0,3.1622776601683795,00
2,2,2,8,7,1,9,6.0,0,8.602325267042627,0,1.0,00
4,4,4,8,4,2,8,4.0,0,6.0,0,3.1622776601683795,00
3,2,5,6,4,8,12,4.47213595499958,0,2.23606797749979,0,3.0,00
2,2,1,8,7,6,14,6.082762530298219,0,6.324555320336759,0,2.23606797749979,00
3,1,5,5,3,5,14,4.47213595499958,0,2.0,0,3.605551275463989,00
4,1,7,3,4,6,14,3.605551275463989,0,4.242640687119285,0,3.605551275463989,00
3,1,6,2,7,3,100,3.1622776601683795,0,1.4142135623730951,1,2.23606797749979,10
4,1,7,3,4,4,14,3.605551275463989,0,3.1622776601683795,0,4.242640687119285,00
1,1,7,3,8,2,100,6.324555320336759,0,1.4142135623730951,1,1.0,10
3,2,8,4,3,5,13,5.385164807134504,0,5.0990195135927845,0,3.605551275463989,00
4,3,1,7,7,2,8,5.0,0,7.810249675906654,0,1.4142135623730951,00
4,2,4,8,1,5,11,6.0,0,4.242640687119285,0,3.0,00
3,1,3,3,8,6,13,2.0,0,5.830951894845301,0,2.0,00
4,3,4,7,2,8,8,4.0,0,2.23606797749979,0,1.0,00
4,3,6,7,8,3,10,4.47213595499958,0,4.47213595499958,0,2.0,00
3,2,6,8,6,4,14,6.708203932499369,0,4.0,0,3.605551275463989,00
3,1,4,8,2,7,12,7.0710678118654755,0,2.23606797749979,0,1.4142135623730951,00
2,1,5,5,7,4,14,5.0,0,2.23606797749979,0,3.1622776601683795,00
4,3,3,6,3,7,100,3.1622776601683795,0,1.0,1,2.23606797749979,10
3,3,2,1,6,3,12,2.23606797749979,0,4.47213595499958,0,2.8284271247461903,00
2,1,6,5,4,2,15,5.656854249492381,0,3.605551275463989,0,3.1622776601683795,00
2,1,2,4,5,1,10,3.0,0,4.242640687119285,0,3.0,00
3,1,3,5,5,5,14,4.0,0,2.0,0,4.242640687119285,00
4,1,3,3,2,7,9,2.23606797749979,0,4.123105625617661,0,1.4142135623730951,00
2,1,2,7,4,7,15,6.0,0,2.0,0,3.1622776601683795,00
4,2,5,1,2,3,13,1.4142135623730951,1,3.605551275463989,0,2.23606797749979,01
3,3,4,3,7,2,7,1.0,1,3.1622776601683795,0,1.4142135623730951,01
3,2,4,3,1,3,9,1.4142135623730951,1,3.0,0,2.0,01
4,1,4,5,7,1,6,4.0,0,5.0,0,1.0,00
3,2,5,7,3,7,13,5.385164807134504,0,2.0,0,2.23606797749979,00
3,1,1,6,4,8,13,5.385164807134504,0,3.605551275463989,0,3.0,00
3,2,4,7,4,6,100,5.0990195135927845,0,1.0,1,3.605551275463989,10
4,1,7,1,4,5,15,3.0,0,5.0,0,4.242640687119285,00
4,2,5,1,2,6,12,1.4142135623730951,1,5.830951894845301,0,2.23606797749979,01
3,1,5,7,6,7,100,6.324555320336759,0,1.0,1,2.23606797749979,10
4,3,6,1,8,8,9,2.8284271247461903,0,7.280109889280518,0,0.0,00
4,3,8,1,2,1,6,4.47213595499958,0,6.0,0,1.0,00
1,1,1,6,7,2,13,5.0,0,7.211102550927978,0,1.4142135623730951,00
3,2,8,7,1,4,10,7.0710678118654755,0,7.615773105863909,0,3.0,00
4,3,5,8,1,3,7,5.0990195135927845,0,6.4031242374328485,0,2.0,00
3,1,5,6,7,4,14,5.385164807134504,0,2.8284271247461903,0,3.1622776601683795,00
4,3,5,5,8,4,8,2.23606797749979,0,3.1622776601683795,0,3.0,00
4,3,8,1,1,2,6,4.47213595499958,0,7.0710678118654755,0,1.0,00
3,1,8,4,2,3,11,5.830951894845301,0,6.082762530298219,0,2.23606797749979,00
2,2,4,2,7,7,14,2.0,0,5.830951894845301,0,1.4142135623730951,00
1,1,4,2,5,3,100,3.1622776601683795,0,1.4142135623730951,1,3.605551275463989,10
4,1,6,3,3,4,14,2.8284271247461903,0,3.1622776601683795,0,3.605551275463989,00
2,1,5,5,7,2,13,5.0,0,3.605551275463989,0,1.4142135623730951,00
1,1,8,5,8,7,15,8.06225774829855,0,2.0,0,1.0,00
4,3,3,8,8,1,6,5.0990195135927845,0,8.602325267042627,0,0.0,00
4,3,8,8,4,6,12,6.4031242374328485,0,4.47213595499958,0,3.605551275463989,00
3,1,2,8,8,7,13,7.0710678118654755,0,6.082762530298219,0,1.0,00
3,2,1,7,6,8,9,5.385164807134504,0,5.0990195135927845,0,2.0,00
3,3,2,2,1,1,100,1.4142135623730951,1,1.4142135623730951,1,0.0,11
2,2,4,4,6,6,13,2.8284271247461903,0,2.8284271247461903,0,2.8284271247461903,00
1,1,8,5,7,7,15,8.06225774829855,0,2.23606797749979,0,1.4142135623730951,00
4,2,2,5,5,6,12,3.605551275463989,0,3.1622776601683795,0,3.605551275463989,00
4,1,3,4,2,8,9,3.1622776601683795,0,4.123105625617661,0,1.0,00
2,1,3,4,7,3,10,3.1622776601683795,0,4.123105625617661,0,2.23606797749979,00
4,1,5,6,3,8,13,5.0990195135927845,0,2.8284271247461903,0,2.0,00
4,3,7,1,5,6,12,3.605551275463989,0,5.385164807134504,0,3.605551275463989,00
1,1,1,4,8,5,15,3.0,0,7.0710678118654755,0,3.0,00
4,2,5,1,8,7,11,1.4142135623730951,1,6.708203932499369,0,1.0,01
4,1,5,7,2,8,11,6.082762530298219,0,3.1622776601683795,0,1.0,00
4,1,3,7,5,5,15,6.082762530298219,0,2.8284271247461903,0,4.242640687119285,00
2,2,8,3,5,4,15,6.082762530298219,0,3.1622776601683795,0,4.242640687119285,00
4,3,5,5,1,5,9,2.23606797749979,0,4.0,0,3.0,00
4,1,3,4,6,6,14,3.1622776601683795,0,3.605551275463989,0,2.8284271247461903,00
4,2,1,2,2,5,13,3.0,0,3.1622776601683795,0,3.1622776601683795,00
3,1,3,4,5,5,15,3.0,0,2.23606797749979,0,4.242640687119285,00
1,1,8,2,8,7,14,7.0710678118654755,0,5.0,0,1.0,00
2,1,7,2,3,5,15,5.0990195135927845,0,5.0,0,3.605551275463989,00
3,2,2,2,4,7,13,1.0,1,5.385164807134504,0,3.1622776601683795,01
4,1,2,2,8,6,12,2.23606797749979,0,7.211102550927978,0,2.0,00
4,3,1,1,4,1,0,3.605551275463989,0,3.0,0,3.0,00
2,1,8,1,5,5,15,6.0,0,5.0,0,4.242640687119285,00
2,2,4,6,6,4,15,4.47213595499958,0,2.8284271247461903,0,3.605551275463989,00
3,2,6,2,2,4,12,3.0,0,4.47213595499958,0,3.1622776601683795,00
1,1,1,2,6,1,8,1.0,1,5.0990195135927845,0,2.0,01
4,3,3,4,1,7,8,1.4142135623730951,1,3.605551275463989,0,1.0,01
4,2,2,1,2,2,100,2.23606797749979,0,1.0,1,1.4142135623730951,10
2,1,7,1,3,4,15,5.0,0,5.0,0,3.605551275463989,00
3,2,6,1,8,3,11,3.1622776601683795,0,2.8284271247461903,0,2.0,00
4,2,5,7,7,8,10,5.0990195135927845,0,2.23606797749979,0,1.0,00
4,3,6,3,2,6,12,2.0,0,5.0,0,2.23606797749979,00
4,3,4,8,3,1,5,5.0,0,7.0710678118654755,0,2.0,00
2,2,8,1,6,3,14,6.082762530298219,0,2.8284271247461903,0,2.8284271247461903,00
2,2,5,2,7,1,7,3.0,0,2.23606797749979,0,1.0,00
3,1,5,2,2,4,14,2.23606797749979,0,3.605551275463989,0,3.1622776601683795,00
1,1,4,4,8,4,14,4.242640687119285,0,4.0,0,3.0,00
4,4,4,8,6,1,9,4.0,0,7.280109889280518,0,2.0,00
1,1,5,3,7,1,11,4.47213595499958,0,2.8284271247461903,0,1.0,00
1,1,6,3,5,1,11,5.385164807134504,0,2.23606797749979,0,3.0,00
2,1,3,7,2,3,10,6.082762530298219,0,4.123105625617661,0,2.23606797749979,00
1,1,5,3,7,6,15,4.47213595499958,0,3.605551275463989,0,2.23606797749979,00
3,3,6,3,2,1,2,3.0,0,4.47213595499958,0,1.0,00
4,3,2,5,6,1,8,2.8284271247461903,0,5.656854249492381,0,2.0,00
4,2,2,8,7,6,13,6.324555320336759,0,5.385164807134504,0,2.23606797749979,00
3,1,1,2,1,6,11,2.23606797749979,0,4.0,0,2.0,00
3,1,4,2,6,8,14,1.4142135623730951,1,6.324555320336759,0,2.0,01
4,1,6,4,5,3,100,3.605551275463989,0,1.4142135623730951,1,3.605551275463989,10
4,3,3,5,2,6,100,2.23606797749979,0,1.4142135623730951,1,2.23606797749979,10
2,1,7,8,5,6,15,8.602325267042627,0,2.8284271247461903,0,3.605551275463989,00
4,3,7,3,5,7,12,3.0,0,4.47213595499958,0,3.1622776601683795,00
3,1,3,4,2,7,9,3.0,0,3.1622776601683795,0,1.4142135623730951,00
4,3,3,1,7,8,12,2.23606797749979,0,8.06225774829855,0,1.0,00
3,3,6,7,6,3,13,5.0,0,4.0,0,2.8284271247461903,00
2,1,8,2,7,6,14,6.082762530298219,0,4.123105625617661,0,2.23606797749979,00
4,4,7,6,6,4,12,3.605551275463989,0,2.23606797749979,0,3.605551275463989,00
2,2,8,7,6,3,14,7.810249675906654,0,4.47213595499958,0,2.8284271247461903,00
4,4,6,3,7,2,100,2.23606797749979,0,1.4142135623730951,1,1.4142135623730951,10
2,1,1,6,7,7,12,5.0990195135927845,0,6.082762530298219,0,1.4142135623730951,00
4,1,2,3,4,8,14,2.8284271247461903,0,5.385164807134504,0,3.0,00
4,2,5,8,5,7,100,6.082762530298219,0,1.0,1,3.1622776601683795,10
4,1,1,6,6,8,12,5.830951894845301,0,5.385164807134504,0,2.0,00
4,4,7,5,7,7,10,3.1622776601683795,0,2.0,0,1.4142135623730951,00
4,1,4,8,4,4,14,7.0,0,4.0,0,4.242640687119285,00
2,1,6,2,6,7,14,4.123105625617661,0,5.0,0,2.23606797749979,00
4,4,1,5,8,6,10,3.1622776601683795,0,7.0710678118654755,0,2.0,00
3,2,7,5,8,6,100,5.0,0,1.4142135623730951,1,2.0,10
2,1,5,7,3,8,11,6.708203932499369,0,2.23606797749979,0,2.0,00
4,1,8,6,2,3,14,6.4031242374328485,0,6.708203932499369,0,2.23606797749979,00
2,1,6,2,6,5,16,4.123105625617661,0,3.0,0,3.605551275463989,00
3,1,3,3,6,6,14,2.0,0,4.242640687119285,0,2.8284271247461903,00
1,1,4,1,8,3,14,3.0,0,4.47213595499958,0,2.0,00
4,3,4,6,8,5,9,3.0,0,4.123105625617661,0,3.0,00
3,2,7,5,2,5,13,5.0,0,5.0,0,3.1622776601683795,00
4,1,8,3,8,5,13,4.47213595499958,0,2.0,0,3.0,00
2,1,2,5,4,4,15,4.0,0,2.23606797749979,0,4.242640687119285,00
3,3,1,2,7,5,12,2.23606797749979,0,6.708203932499369,0,3.1622776601683795,00
3,2,8,4,2,5,13,5.385164807134504,0,6.082762530298219,0,3.1622776601683795,00
4,1,5,2,8,5,12,1.4142135623730951,1,4.242640687119285,0,3.0,01
2,1,4,5,1,8,12,4.47213595499958,0,4.242640687119285,0,0.0,00
4,2,8,5,6,1,8,5.0,0,4.47213595499958,0,2.0,00
4,3,8,8,6,2,9,6.4031242374328485,0,6.324555320336759,0,2.23606797749979,00
3,2,5,6,1,6,12,4.47213595499958,0,4.0,0,2.0,00
1,1,5,8,6,3,14,8.06225774829855,0,5.0990195135927845,0,2.8284271247461903,00
3,2,7,3,8,8,7,4.123105625617661,0,5.0990195135927845,0,0.0,00
4,2,3,4,3,8,13,2.23606797749979,0,4.0,0,2.0,00
3,3,3,4,7,3,8,1.0,1,4.123105625617661,0,2.23606797749979,01
1,1,3,1,4,4,15,2.0,0,3.1622776601683795,0,4.242640687119285,00
1,1,8,3,7,2,100,7.280109889280518,0,1.4142135623730951,1,1.4142135623730951,10
4,1,5,6,1,8,13,5.0990195135927845,0,4.47213595499958,0,0.0,00
3,1,6,7,1,8,10,6.708203932499369,0,5.0990195135927845,0,0.0,00
2,1,4,5,1,5,12,4.47213595499958,0,3.0,0,3.0,00
4,3,8,5,1,6,9,4.47213595499958,0,7.0710678118654755,0,2.0,00
3,3,1,7,6,3,12,4.47213595499958,0,6.4031242374328485,0,2.8284271247461903,00
2,1,6,6,1,8,13,6.4031242374328485,0,5.385164807134504,0,0.0,00
1,1,8,1,3,2,14,7.0,0,5.0990195135927845,0,2.23606797749979,00
4,1,5,6,7,4,13,5.0990195135927845,0,2.8284271247461903,0,3.1622776601683795,00
3,1,1,3,3,3,14,2.8284271247461903,0,2.0,0,2.8284271247461903,00
4,3,8,3,1,5,11,4.0,0,7.280109889280518,0,3.0,00
4,3,5,2,3,6,11,1.4142135623730951,1,4.47213595499958,0,2.8284271247461903,01
4,3,1,4,5,5,12,3.1622776601683795,0,4.123105625617661,0,4.242640687119285,00
2,2,8,5,8,7,13,6.708203932499369,0,2.0,0,1.0,00
4,1,6,6,6,2,14,5.385164807134504,0,4.0,0,2.23606797749979,00
3,2,5,4,1,3,1,2.8284271247461903,0,4.123105625617661,0,2.0,00
3,1,1,1,6,2,11,2.0,0,5.0990195135927845,0,2.23606797749979,00
4,2,1,5,5,8,12,4.242640687119285,0,5.0,0,3.0,00
4,1,8,5,5,8,13,5.656854249492381,0,4.242640687119285,0,3.0,00
4,1,5,6,7,7,12,5.0990195135927845,0,2.23606797749979,0,1.4142135623730951,00
4,3,3,6,7,6,12,3.1622776601683795,0,4.0,0,2.23606797749979,00
3,2,6,1,1,1,2,3.1622776601683795,0,5.0,0,0.0,00
2,2,8,8,5,4,15,8.48528137423857,0,5.0,0,4.242640687119285,00
2,1,4,4,1,6,11,3.605551275463989,0,3.605551275463989,0,2.0,00
4,3,8,3,6,8,11,4.0,0,5.385164807134504,0,2.0,00
4,2,5,4,3,6,12,2.23606797749979,0,2.8284271247461903,0,2.8284271247461903,00
4,1,8,8,2,1,5,8.06225774829855,0,9.219544457292887,0,1.0,00
4,3,6,7,1,7,11,4.47213595499958,0,5.0,0,1.0,00
4,2,5,7,1,1,4,5.0990195135927845,0,7.211102550927978,0,0.0,00
2,1,7,4,4,6,14,5.830951894845301,0,3.605551275463989,0,3.605551275463989,00
2,2,4,4,7,7,13,2.8284271247461903,0,4.242640687119285,0,1.4142135623730951,00
2,2,6,4,4,4,15,4.47213595499958,0,2.0,0,4.242640687119285,00
2,1,4,2,1,4,12,2.23606797749979,0,3.605551275463989,0,3.0,00
3,2,5,1,8,3,12,2.23606797749979,0,3.605551275463989,0,2.0,00
1,1,6,5,8,1,13,6.4031242374328485,0,4.47213595499958,0,0.0,00
4,1,4,5,2,8,12,4.0,0,3.605551275463989,0,1.0,00
3,2,3,4,2,8,7,2.0,0,4.123105625617661,0,1.0,00
2,2,1,1,7,6,14,1.4142135623730951,1,7.810249675906654,0,2.23606797749979,01
3,1,5,1,8,3,12,2.0,0,3.605551275463989,0,2.0,00
4,2,2,2,7,3,12,2.0,0,5.0990195135927845,0,2.23606797749979,00
2,1,1,3,4,6,15,2.23606797749979,0,4.242640687119285,0,3.605551275463989,00
4,3,2,2,4,5,12,2.23606797749979,0,3.605551275463989,0,4.242640687119285,00
4,1,1,2,3,4,14,3.1622776601683795,0,2.8284271247461903,0,3.605551275463989,00
2,1,3,4,6,5,14,3.1622776601683795,0,3.1622776601683795,0,3.605551275463989,00
4,2,7,6,7,1,8,5.0,0,5.0,0,1.0,00
2,1,6,2,7,1,100,4.123105625617661,0,1.4142135623730951,1,1.0,10
3,1,3,3,1,2,1,2.0,0,2.23606797749979,0,1.0,00
2,1,8,6,3,4,15,7.810249675906654,0,5.385164807134504,0,3.605551275463989,00
1,1,3,7,7,3,16,6.324555320336759,0,5.656854249492381,0,2.23606797749979,00
1,1,6,7,8,4,13,7.810249675906654,0,3.605551275463989,0,3.0,00
3,1,7,2,2,6,13,4.123105625617661,0,6.4031242374328485,0,2.23606797749979,00
3,1,6,6,3,4,15,5.830951894845301,0,3.605551275463989,0,3.605551275463989,00
4,1,5,7,1,4,12,6.082762530298219,0,5.0,0,3.0,00
4,3,8,3,1,4,11,4.0,0,7.0710678118654755,0,3.0,00
2,2,8,2,8,4,14,6.0,0,2.0,0,3.0,00
3,1,1,4,7,6,14,3.605551275463989,0,6.324555320336759,0,2.23606797749979,00
3,3,8,7,7,1,10,6.4031242374328485,0,6.082762530298219,0,1.0,00
3,2,4,1,8,7,12,1.4142135623730951,1,7.211102550927978,0,1.0,01
4,1,5,1,5,3,14,1.0,1,2.0,0,3.605551275463989,01
3,2,1,5,6,5,12,3.605551275463989,0,5.0,0,3.605551275463989,00
3,2,2,2,2,8,13,1.0,1,6.0,0,1.0,01
3,1,5,1,1,4,13,2.0,0,5.0,0,3.0,00
4,2,6,7,2,1,4,5.385164807134504,0,7.211102550927978,0,1.0,00
3,3,3,2,6,1,5,1.0,1,3.1622776601683795,0,2.0,01
2,2,6,8,6,1,13,7.211102550927978,0,7.0,0,2.0,00
